汽车id,name
9235,五菱星光PHEV
4865,宋PLUS DM-i
4802,秦PLUS DM-i
4363,Model Y
6266,五菱缤果
3504,宋Pro DM-i
5952,海鸥
8830,8830
4499,五菱宏光MINIEV
4228,汉DM-i
3762,Model 3
8796,领克08 EM-P
5248,元PLUS
9113,哈弗猛龙
5217,大众ID.3
8859,8859
4838,宝马i3
9173,荣威D7 DMH
9129,9129
6206,蓝山DHT-PHEV
6173,理想L7
4814,AION Y
5859,长安Lumin
5008,海豚
8858,8858
9128,ZEEKR 007
311,唐DM-i
8979,宋L
5015,ZEEKR 001
5820,问界M7
6261,海豹DM-i
8964,坦克400 Hi4-T
6148,熊猫
6204,蓝电E5
5290,驱逐舰 05
5830,坦克500 Hi4-T
5857,长安欧尚Z6 iDD新能源
4586,ID.4 CROZZ
6271,别克E5
8808,风云A8
6095,理想L8
4300,汉EV
4538,宝马iX3
4540,宋PLUS EV
4899,秦PLUS EV
9118,智己LS6
4272,零跑T03
8895,小鹏G6
5283,领克09 EM-P
5817,吉利几何E萤火虫
3101,AION S
9184,传祺E8 PHEV
4635,欧拉好猫
3352,小鹏P7
5227,理想L9
5092,红旗E-QM5
8795,哈弗枭龙MAX
3359,微蓝6
5579,海豹
4340,领克06 EM-P
5923,长安UNI-V 智电iDD
5872,帝豪L HiP
9346,捷途山海L9
8834,阿维塔 12
5843,腾势D9 DM-i
8884,8884
6365,雅阁 PHEV
4258,ID.4 X
5461,小鹏G9
4334,奥迪Q4 e-tron
5889,瑞虎8 PRO PHEV
6124,哈弗二代大狗PHEV
4980,飞凡R7
5924,岚图梦想家 PHEV
9242,9242
8965,星纪元 ES
3142,迈腾GTE
5847,护卫舰 07
9029,云朵
9187,传祺ES9 PHEV
5257,QQ冰淇淋
6303,高山
6312,哪吒GT
6160,悦也
5308,阿维塔 11
4730,本田CR-V PHEV
9261,9261
5828,MG4 EV
8794,哈弗枭龙
9312,哪吒X
6294,小鹏X9
1101,小蚂蚁
9167,岚图追光 PHEV
4981,元Pro
6208,奔驰EQE SUV
4561,MG Cyberster
2843,蔚来ES6
5813,奔驰EQE
6336,启辰大V DD-i超混动
9224,宝马i5
2989,帕萨特PHEV
3077,唐EV
6273,长安CS75 PLUS 智电iDD
5216,长安UNI-K 智电iDD
6087,传祺E9 PHEV
9208,哪吒AYA
6137,飞凡F7
8897,8897
6363,极狐 阿尔法T5
3001,途观L PHEV
6126,丰田bZ3
5802,风行雷霆
9237,起亚EV5
5322,smart精灵#1
5053,欧拉闪电猫
5895,ARIYA 艾睿雅
9126,蔚来ET5T
6317,奇瑞舒享家
5002,奥迪Q5 e-tron
4839,皓影 PHEV
4867,摩卡DHT-PHEV
5997,睿蓝7
3455,比亚迪e2
9345,昊铂HT
4416,奔奔E-Star
8896,英仕派 PHEV
5358,IQ锐歌
9349,9349
6311,昊铂GT
3932,奔驰EQB
4961,ID.6 CROZZ
6076,瑞虎7 PLUS PHEV
5503,哈弗H6新能源
1729,奔驰EQA
2887,宋MAX DM-i
4426,AION V
4629,哪吒V
6298,iCAR 03
3710,CLEVER
3157,吉利几何A
3131,探岳GTE
8946,ID.7 VIZZION
5409,蔚来ET5
6235,仰望U8
6080,吉利几何G6
4385,极狐 阿尔法T
147,宝马5系PHEV
6086,星越L 增程电动版
8942,宝马iX1
4637,极狐 阿尔法S
4894,ID.6 X
6328,启辰VX6
5004,小鹏P5
1792,沃尔沃XC60 RECHARGE
9125,荣威D7 EV
2716,奔驰E级PHEV
3275,哪吒U
6253,ZEEKR X
4211,宝马i4
9131,9131
5967,极越01
2937,沃尔沃S90 RECHARGE
4869,智己LS7
5297,欧拉芭蕾猫
1616,蔚来ES8
6356,极狐考拉
5968,5968
4306,赛博越野旅行车
9635,猎手
1707,奥迪A6L PHEV
6272,smart精灵#3
5878,ZEEKR 009
3663,Taycan
5387,本田e:NS1
4146,红旗E-HS9
5842,腾势D9 EV
9132,9132
3023,宝马iX
6360,腾势N7
4668,奔驰EQS
6362,别克E4
5567,星途追风 C-DM
5472,合创V09
1183,荣威eRX5
4296,宝马i7
1820,秦EV
5335,拿铁DHT-PHEV
3719,奔驰EQC
4890,福特电马
9225,智界S7
4585,东风本田M-NV
4125,4125
4543,奥迪e-tron
5860,一汽丰田bZ4X
5001,瑞虎8 PLUS鲲鹏e+
5832,Polestar 4
2883,领克01 PHEV
1255,Model X
9262,沃尔沃EM90
4320,五菱荣光EV
4329,RAV4荣放双擎E+
3337,奥迪Q2L e-tron
8802,高合HiPhi Y
1280,沃尔沃S60 RECHARGE
5269,欧拉好猫GT
1254,Model S
6346,仰望U9
6308,云兔
5392,e:NP1 极湃1
1276,沃尔沃XC90 RECHARGE
5896,五菱Air ev晴空
8898,腾势N8 DM
5431,高合HiPhi Z
2819,小鹏G3
4924,沃尔沃C40 RECHARGE
4738,沃尔沃XC40 RECHARGE
5093,宝骏KiWi EV
4156,领克05 EM-P
6081,吉利几何M6
4380,吉利几何C
4076,比亚迪e3
9234,五菱星光EV
5805,奔驰EQS SUV
6224,蔚来EC7
229,奔驰GLE PHEV
4081,雪佛兰畅巡
3096,广汽本田VE-1
4813,威兰达高性能版
4074,北京EU5
5570,广汽丰田bZ4X
4357,蔚来EC6
3059,理想ONE
4795,绎乐
5497,雷克萨斯RZ
5416,岚图梦想家 EV
5089,合创Z03
156,Cayenne E-Hybrid
3503,AION LX
6205,岚图追光
5818,荣威iMAX8 EV
225,奔驰S级PHEV
1584,传祺GS4 PHEV
4782,奥迪RS e-tron GT
4861,奔腾NAT
6003,睿蓝9
153,Panamera E-Hybrid
6069,合创A06
9275,路特斯Emeya繁花
1801,揽胜PHEV
4870,智己L7
1793,菱智M5 EV
4640,发现运动版PHEV
8960,大家7
3478,蔚来ET7
1456,逸动EV
5047,五菱Nano EV
4582,荣威i6 MAX EV
5215,雷克萨斯NX PHEV
1655,东风风神E70
1795,MG6 PHEV
4638,比亚迪D1
2861,红旗E-HS3
3151,大通EV30
3975,高合HiPhi X
4819,花仙子
1760,荣威Ei5
3353,捷途X70S EV
6060,凯翼拾月
5126,捷尼赛思GV60
4388,悦虎
3351,启辰D60 EV
3473,标致508L PHEV
5102,北京EU5 PLUS
123,宝马7系PHEV
6067,理想MEGA
5228,法拉利296
735,帝豪EV
5898,小麒麟
5825,路特斯Eletre
6020,6020
4688,枫叶80v
4503,4503
5166,奔驰GLE轿跑 PHEV
4919,4919
2972,睿行EM80
1833,元EV
4365,牧马人4xe PHEV
5888,无界Pro
5887,锐胜王牌EM7
5389,风光MINIEV
2881,卡罗拉双擎E+
9116,9116
6118,6118
5063,大家9
1713,云度π1
1802,揽胜运动版PHEV
4943,起亚EV6
4205,睿行EM60
2726,添越PHEV
4542,远志M1
3339,奕泽E进擎
5788,元宝
4117,标致4008 PHEV
5122,创维EV6
3469,炮EV
1810,风行S50 EV
5069,马自达CX-30 EV
5845,理想L6
3143,途锐PHEV
5819,蔚来ES7
4139,风骏EV
5171,奔驰EQS AMG
4758,名图 纯电动
3587,江淮iEV7
9458,新途EV70
4808,MG领航PHEV
4075,荣威RX5 eMAX
4087,广汽丰田iA5
1825,新途EV80
3022,长安之星9 EV
5871,创维HT-i
5014,5014
8947,红旗EH7
5299,跨越星V5 EV
2823,微蓝6 PHEV
3028,易至EV3
4490,五菱EV50
3005,特顺EV
3115,奥迪e-tron GT
6154,昊铂SSR
4589,北京X7 PHEV
2882,雷凌双擎E+
4678,恒驰5
2911,欧拉黑猫
5233,顺达EV
3349,北京EU7
5787,家宝
1702,Mirai
5464,机甲龙
5032,5032
3713,锐骐6 EV
3760,Evija
4154,海豚EV
8835,红旗EHS7
3759,菲斯塔 纯电动
3329,长安欧尚长行EV
1772,海狮 EV
4708,新途EV90
3338,丰田C-HR EV
3726,法拉利SF90
4520,长安欧尚科尚EV
4601,荣威ei6 MAX
5868,思皓爱跑
5151,枫叶60s
5245,大切诺基4xe(进口)
3453,启辰T60 EV
1826,图雅诺智蓝
4278,奔腾E01
5454,捷尼赛思纯电GV70
5822,5822
3015,长安星卡EV
4649,思皓E50A
5121,阿图柯AIRTREK
4960,天际ME5
3347,北京EX3
5054,捷尼赛思纯电G80
5385,5385
1809,蒙迪欧PHEV
475,东风小康EC36
3210,域虎EV
2339,Roadster
6117,6117
3166,Polestar 2
6172,沃尔沃EX90
2818,爱驰U5
3367,领界EV
4650,思皓E40X
5420,奔驰EQE AMG
8899,腾势N8 EV
4316,北汽大猫
4086,艾瑞泽e
5079,欧拉朋克猫
4786,瑞途EV
5293,5293
4290,天逸 C5 AIRCROSS PHEV
2858,北汽EV5
3158,北京EX5
2920,帝豪GSe
3706,缤越PHEV
9707,蔚来ET9
4723,北汽小河马
5367,炫界Pro EV
8967,星途瑶光 C-DM
9211,深蓝G318
4721,凯普特e星
5229,跨越王X1 EV
2311,江淮iEVA50
2366,EVOS(海外)
2572,2572
2696,迈迈
2714,奔驰C级PHEV(进口)
2814,博瑞ePro
2815,轩逸·纯电
2837,前途K20
2840,SITECH DEV 1
2846,威马EX6
2853,长安CS75 PHEV
2854,广汽丰田ix4
2856,2856
2866,思皓E20X
2870,风光580 PHEV
2901,起亚K5 PHEV
2907,索纳塔PHEV
2910,欧拉iQ
2912,欧拉白猫
2922,优劲EV
2924,俊风ER30
2964,哪吒N01
2973,帅客EV
2979,开瑞K60 EV
2983,俊风E11K
2986,长安欧尚A600 EV
2992,宝骏E200
3003,野马EC60
3014,欧诺EV
3020,祺智EV
3025,大乘G60E
3026,大乘E20
3027,奔腾X40 EV
3033,英致737 EV
3047,起亚KX3纯电动
3048,秦Pro DM
3049,秦Pro EV
3051,奇瑞eQ2
3075,天际ME7
3080,名爵EZS纯电动
3084,尼欧Ⅱ
3086,逸动ET
3093,江淮iEVS4
3099,江淮iEVA60
3106,蔚揽PHEV
3108,森雅R7 EV
3109,长安V3 EV
3110,长安V5 EV
3121,嘉际PHEV
3133,佳宝V80 EV
3140,瑞迈EV
3144,领克02 PHEV
3147,高尔夫·纯电
3169,奥迪A8 PHEV
3174,比亚迪e1
3178,Model Y(海外)
3183,风景V5 EV
3201,成功BEV6
3233,比亚迪S2
3277,朗逸纯电
3278,宝来·纯电
3331,帝豪GL PHEV
3346,领克03 PHEV
3348,北汽新能源EC5
3369,雷诺 e诺
3371,起亚K3 PHEV
3377,昂希诺 纯电动
3378,领动PHEV
3387,瑞虎e
3398,威马W6
3399,风行T1 EV
3408,国机智骏GX5
3409,国机智骏GC1
3410,国机智骏GC2
3452,启辰e30
3464,大通EUNIQ 6
3468,大通EUNIQ 5
3480,东风本田X-NV
3481,飞行家PHEV
3488,宋MAX EV
3505,宋Pro EV
3528,大指挥官PHEV
3595,星越PHEV
3714,魏牌 VV7 PHEV
3715,名爵HS PHEV
3723,合创007
3731,睿行ES30
3761,锐骐EV
3873,腾势X PHEV
4071,City Car
4082,CS55 E-Rock
4088,众泰M10 EV 
4151,魏牌 VV7 GT PHEV
4158,MEV100
4164,奕炫EV
4175,北汽EV2
4179,大通FCV80
4202,长安欧尚X7 EV
4215,Ariya（海外）
4221,神骐T10 EV
4224,风光E1
4275,标致e-2008
4281,雷克萨斯UX EV
4289,大通EUNIQ 6 PLUG IN
4291,长安CS15 E-Pro
4292,好运2号
4293,小海狮 EV
4294,起亚K3 EV
4297,江淮iC5
4301,T50 EV
4304,飞凡ER6
4305,腾势X BEV
4344,途岳EV
4349,宝骏E300
4370,领克07 EM-P
4378,微蓝7
4384,大蚂蚁
4390,北汽小猫
4394,北汽豹
4431,Polestar 5
4464,爱驰U6
4465,斯派卡EV
4488,枫叶30X
4497,天美ET5
4515,大通EUNIQ 5 PLUG IN
4517,极光号
4529,飞凡MARVEL R
4534,启能 GEV 1
4546,大通EUNIQ 7
4570,新特AEV
4632,Passat PHEV
4674,恒驰1
4675,恒驰2
4676,恒驰3
4677,恒驰4
4679,恒驰6
4686,云度V01L
4689,芒果
4709,凯翼E5 EV
4749,揽胜星脉PHEV
4858,羿
4905,恒驰7
4906,恒驰8
4907,恒驰9
4946,牧马人4xe EV
4950,长安CS-GXNEV
4969,途胜PHEV
4972,标致E-308
5007,雷克萨斯 LF-Z Electrified
5011,捷尼赛思 X 概念车
5041,雪铁龙C5 X PHEV
5062,风光S-007
5074,比亚迪X DREAM
5075,MPV概念车
5077,5077
5083,Audi Concept Shanghai
5084,丰田bZ4X(海外)
5148,玛奇朵DHT-PHEV
5152,威马E.5
5163,大众ID.X
5183,宝骏RS-5 PHEV
5204,长安CS75 FCV
5222,观致REV5
5265,东风风神E60
5303,宝马iX5
5318,奔驰GLA PHEV
5323,BMW i Vision Circular
5345,小康糖果
5348,ocean-X
5353,EX3 功夫牛
5356,Polestar 3
5362,R RYZR
5403,威马M7
5444,奥迪Q3 Sportback PHEV
5445,奥迪Q5 Sportback PHEV
5446,起亚EV9
5451,宝马i5(进口)
5525,芒果Pro
5542,奥迪S1 e-tron
5804,SPORTAGE PHEV
5812,奔驰EQE SUV AMG
5836,Polestar 6
5906,北汽瑞翔V2 EV
5930,芒果MAX
5998,ID. AERO
6088,极狐 N50AB
6127,猛士M-Terrain
6128,猛士M-Terrain S
6286,6286
8872,鲸卡T7 EV
8956,奔腾小马
8966,星纪元 ET
8993,本田e:NS2
9024,悦也皮卡
9306,捷尼赛思GV90
9347,荣威D5X DMH
9428,9428
9517,9517
9682,哪吒L
9771,昊铂AH8
